member_id,region,num_profiles,num_kids,device_mix,num_devices,view_hours_30d,titles_started,titles_completed,titles_abandoned,completion_rate,active_days_30d,thumbs_up,my_list_saves,kids_content_hours,tenure_months,churned
M000098,Europe,1,1,multi_device,3,56.0,13,12,1,0.923,15,3,6,3.6,21,0
M000099,North America,5,1,multi_device,3,71.8,21,16,5,0.762,6,3,5,7.3,50,0
M000100,North America,2,0,multi_device,4,31.1,9,7,2,0.778,19,3,9,0.2,68,0
M000101,North America,3,0,multi_device,4,7.4,9,3,6,0.333,15,1,5,0.8,65,0
M000102,Europe,1,0,multi_device,4,42.9,4,2,2,0.5,17,5,7,0.9,45,0
M000103,North America,3,0,tv_only,1,28.1,13,10,3,0.769,2,3,5,0.0,81,0
M000104,Europe,4,1,multi_device,2,29.6,16,11,5,0.688,1,7,9,23.8,49,0
M000105,Asia Pacific,2,2,multi_device,3,12.9,10,6,4,0.6,19,4,8,5.9,84,0
M000106,North America,3,2,multi_device,4,34.0,12,7,5,0.583,3,1,9,2.6,36,0
M000107,Europe,1,0,multi_device,4,43.8,10,4,6,0.4,17,2,5,0.7,96,0
M000108,Latin America,3,0,multi_device,3,28.3,16,12,4,0.75,24,4,3,0.1,71,0
M000109,North America,2,1,multi_device,4,17.9,12,8,4,0.667,7,2,7,24.3,33,0
M000110,North America,1,0,tv_only,1,19.0,9,1,8,0.111,14,6,8,1.9,45,0
M000111,North America,2,1,web_only,1,30.1,12,10,2,0.833,14,2,3,28.5,73,0
M000112,North America,1,1,multi_device,4,18.4,13,8,5,0.615,11,7,7,5.6,68,0
M000113,Asia Pacific,4,2,multi_device,4,9.9,15,6,9,0.4,16,2,6,10.7,52,0
M000114,Latin America,2,0,mobile_only,1,42.4,13,10,3,0.769,22,1,5,0.7,49,0
M000115,Europe,1,0,web_only,1,26.1,15,10,5,0.667,30,5,2,0.8,29,0
M000116,Asia Pacific,2,2,tv_only,1,28.6,12,7,5,0.583,7,5,3,26.7,61,0
M000117,Latin America,2,1,multi_device,3,15.5,10,7,3,0.7,27,5,3,12.4,45,0
M000118,North America,3,2,mobile_only,1,9.9,12,5,7,0.417,18,2,5,16.7,32,1
M000119,Asia Pacific,5,0,multi_device,2,13.6,13,12,1,0.923,24,4,4,1.2,120,0
M000120,Europe,2,1,tv_only,1,17.2,9,3,6,0.333,23,3,2,19.6,41,0
M000121,Latin America,4,1,tv_only,1,18.2,14,5,9,0.357,17,4,5,28.8,32,0
M000122,Asia Pacific,3,0,multi_device,3,23.3,10,4,6,0.4,27,5,7,1.2,68,0
M000123,North America,1,0,tv_only,1,47.3,11,7,4,0.636,24,2,6,0.0,18,1
M000124,North America,3,1,mobile_only,1,39.7,12,10,2,0.833,12,6,5,6.7,31,0
M000125,North America,2,0,mobile_only,1,37.7,11,6,5,0.545,12,3,8,1.9,26,0
M000126,Europe,3,0,web_only,1,10.2,7,1,6,0.143,11,7,10,0.6,52,0
M000127,Latin America,4,1,multi_device,2,36.2,11,9,2,0.818,13,5,7,20.5,101,0
M000128,Asia Pacific,2,0,tv_only,1,46.6,13,6,7,0.462,12,1,7,0.0,31,0
M000129,North America,4,2,multi_device,2,18.1,10,6,4,0.6,23,2,3,43.4,59,0
M000130,Europe,3,0,mobile_only,1,9.7,13,2,11,0.154,26,9,7,0.3,26,0
M000131,Europe,2,0,multi_device,3,34.5,15,9,6,0.6,10,4,8,5.7,44,0
M000132,North America,3,3,multi_device,2,39.3,15,9,6,0.6,2,6,6,29.9,40,0
M000133,North America,2,2,multi_device,3,24.9,9,8,1,0.889,3,1,8,4.3,38,0
M000134,North America,5,0,multi_device,2,43.4,11,6,5,0.545,22,2,8,0.1,34,0
M000135,Asia Pacific,3,2,tv_only,1,26.1,14,10,4,0.714,11,5,8,32.8,120,0
M000136,North America,1,0,tv_only,1,12.2,10,6,4,0.6,6,5,7,0.1,36,0
M000137,Europe,2,0,multi_device,4,25.8,13,9,4,0.692,20,1,10,0.5,53,0
M000138,Latin America,3,0,mobile_only,1,27.9,14,8,6,0.571,24,4,9,1.6,90,0
M000139,North America,1,0,tv_only,1,24.6,13,9,4,0.692,26,7,5,3.1,18,0
M000140,Asia Pacific,1,2,mobile_only,1,8.0,14,9,5,0.643,2,3,7,31.8,5,1
M000141,Asia Pacific,2,1,web_only,1,63.6,15,6,9,0.4,13,1,7,36.1,32,0
M000142,North America,2,3,multi_device,3,85.5,14,8,6,0.571,3,2,9,22.3,70,0
M000143,Europe,2,1,tv_only,1,21.2,9,1,8,0.111,7,6,13,3.3,71,0
M000144,North America,2,0,mobile_only,1,22.8,11,9,2,0.818,4,5,8,0.7,69,0
M000145,North America,1,1,multi_device,3,26.0,12,9,3,0.75,12,2,4,9.4,77,0
M000146,North America,3,3,mobile_only,1,23.7,6,2,4,0.333,27,6,10,14.5,17,0
M000147,Europe,2,1,multi_device,2,12.5,5,1,4,0.2,24,2,7,8.5,35,0
M000148,Europe,1,1,tv_only,1,41.4,17,8,9,0.471,14,5,8,15.0,64,0
M000149,North America,2,2,multi_device,2,42.7,15,14,1,0.933,10,3,7,6.0,44,0
M000150,North America,3,0,web_only,1,23.3,16,11,5,0.688,9,0,8,0.0,57,0
M000151,Asia Pacific,1,1,mobile_only,1,22.3,10,5,5,0.5,22,1,3,16.4,21,0
M000152,North America,1,2,web_only,1,21.8,12,2,10,0.167,6,5,4,1.1,32,0
M000153,North America,1,3,web_only,1,40.7,5,1,4,0.2,12,7,7,13.0,14,0
M000154,Europe,4,0,multi_device,3,25.6,8,4,4,0.5,22,2,6,0.0,36,0
M000155,Asia Pacific,3,0,multi_device,4,21.1,11,6,5,0.545,8,2,11,0.1,38,0
M000156,North America,3,1,mobile_only,1,9.8,9,4,5,0.444,11,5,4,14.1,84,0
M000157,Europe,3,0,tv_only,1,44.8,13,4,9,0.308,18,4,3,1.8,11,1
M000158,Latin America,3,1,tv_only,1,14.6,14,13,1,0.929,2,5,13,28.9,43,0
M000159,North America,2,0,mobile_only,1,9.7,9,3,6,0.333,30,3,3,0.1,31,0
M000160,Latin America,3,0,web_only,1,36.4,11,8,3,0.727,10,6,9,0.5,56,0
M000161,North America,1,0,multi_device,2,25.4,11,2,9,0.182,13,4,2,1.6,30,0
M000162,Europe,3,0,web_only,1,88.2,15,9,6,0.6,6,7,10,3.2,28,0
M000163,Europe,3,0,multi_device,4,8.6,14,7,7,0.5,23,8,2,0.0,88,0
M000164,Europe,2,0,multi_device,3,16.6,8,6,2,0.75,10,2,5,5.3,101,0
M000165,North America,2,0,multi_device,3,36.3,15,9,6,0.6,29,3,2,0.3,64,0
M000166,Latin America,2,0,tv_only,1,24.5,14,11,3,0.786,22,4,3,1.0,29,0
M000167,North America,3,0,multi_device,3,28.2,13,6,7,0.462,15,5,5,0.3,37,0
M000168,North America,3,0,multi_device,3,28.2,11,4,7,0.364,19,2,6,0.0,5,1
M000169,North America,4,1,mobile_only,1,6.0,8,5,3,0.625,10,2,10,4.6,86,0
M000170,Europe,2,2,tv_only,1,29.4,8,3,5,0.375,15,11,8,16.6,61,0
M000171,Europe,3,0,multi_device,3,39.8,16,4,12,0.25,27,6,5,1.1,36,0
M000172,North America,3,0,multi_device,2,13.2,16,14,2,0.875,28,1,9,0.0,52,0
M000173,Europe,4,1,tv_only,1,13.8,11,8,3,0.727,22,4,7,8.1,16,0
M000174,North America,2,0,multi_device,3,18.5,13,3,10,0.231,10,7,6,4.6,54,0
M000175,Europe,2,3,web_only,1,9.4,11,10,1,0.909,13,5,9,13.8,57,0
M000176,North America,3,1,web_only,1,12.0,10,2,8,0.2,28,2,6,41.6,22,0
M000177,Latin America,3,0,tv_only,1,26.3,12,3,9,0.25,19,2,5,0.8,20,0
M000178,North America,5,0,tv_only,1,53.1,9,7,2,0.778,17,3,8,1.6,48,0
M000179,Asia Pacific,1,0,multi_device,4,17.0,6,2,4,0.333,15,8,10,3.3,40,0
M000180,North America,1,0,multi_device,3,67.1,9,6,3,0.667,11,6,6,0.6,41,0
M000181,North America,4,0,multi_device,2,16.8,18,5,13,0.278,12,5,8,1.3,41,0
M000182,North America,2,0,mobile_only,1,42.1,9,5,4,0.556,20,8,7,2.2,23,1
M000183,Asia Pacific,3,2,multi_device,4,14.4,13,7,6,0.538,30,7,4,3.1,81,0
M000184,Asia Pacific,2,0,tv_only,1,32.1,12,9,3,0.75,16,5,9,0.5,54,0
M000185,North America,1,0,web_only,1,61.7,15,11,4,0.733,15,2,2,0.0,61,0
M000186,Europe,3,1,multi_device,3,36.9,10,4,6,0.4,20,5,3,17.5,79,0
M000187,Latin America,3,0,web_only,1,22.9,14,5,9,0.357,18,6,7,0.3,117,0
M000188,Europe,2,0,tv_only,1,21.9,8,6,2,0.75,27,6,7,0.6,50,0
M000189,Europe,2,0,mobile_only,1,32.4,11,9,2,0.818,22,6,6,1.1,77,0
M000190,North America,4,1,web_only,1,39.1,9,5,4,0.556,27,5,5,33.4,70,0
M000191,North America,1,3,multi_device,4,41.9,11,5,6,0.455,13,5,4,6.4,33,0
M000192,Asia Pacific,4,0,multi_device,3,26.6,12,7,5,0.583,27,5,3,1.4,38,0
M000193,Asia Pacific,2,0,multi_device,4,31.6,13,5,8,0.385,5,6,7,5.4,39,0
M000194,Europe,3,0,multi_device,2,13.9,9,5,4,0.556,17,2,3,1.5,36,0
M000195,North America,4,0,multi_device,2,34.4,14,4,10,0.286,2,2,8,0.3,18,0
M000196,North America,3,0,multi_device,2,14.6,10,6,4,0.6,22,4,6,2.6,23,0
M000197,Latin America,2,2,mobile_only,1,28.4,10,4,6,0.4,30,4,5,18.3,38,0
M000198,Asia Pacific,3,2,multi_device,3,19.9,13,7,6,0.538,3,2,5,16.2,115,0
M000199,Asia Pacific,2,0,tv_only,1,57.8,8,4,4,0.5,7,2,5,4.3,38,0
M000200,Latin America,2,0,multi_device,2,26.4,14,3,11,0.214,17,4,6,1.4,48,0
M000201,Europe,5,1,mobile_only,1,61.6,14,9,5,0.643,15,2,4,9.8,38,0
M000202,North America,3,0,multi_device,2,24.7,12,8,4,0.667,7,2,4,1.0,77,0
M000203,North America,3,0,multi_device,3,68.0,4,3,1,0.75,3,3,1,2.3,72,0
M000204,Asia Pacific,2,0,multi_device,3,35.4,14,10,4,0.714,29,3,6,1.3,62,0
M000205,Europe,1,0,multi_device,4,6.4,17,3,14,0.176,6,9,2,1.2,31,0
M000206,North America,1,0,tv_only,1,20.2,9,6,3,0.667,17,5,3,2.6,89,0
M000207,North America,3,2,multi_device,3,15.6,11,5,6,0.455,27,7,6,9.4,74,0
M000208,Europe,3,1,tv_only,1,10.0,15,10,5,0.667,1,3,9,15.0,108,0
M000209,North America,2,0,tv_only,1,15.0,13,10,3,0.769,17,3,5,2.5,37,0
M000210,North America,4,0,tv_only,1,17.4,13,8,5,0.615,22,2,7,0.2,15,0
M000211,Europe,1,2,tv_only,1,6.9,8,5,3,0.625,2,2,6,6.0,38,1
M000212,Latin America,2,0,multi_device,2,22.6,7,1,6,0.143,26,1,8,1.6,48,0
M000213,Europe,1,2,multi_device,3,34.4,13,5,8,0.385,8,2,4,10.8,62,0
M000214,North America,2,0,multi_device,2,89.6,7,5,2,0.714,15,5,3,0.1,67,0
M000215,Latin America,1,0,mobile_only,1,54.4,11,3,8,0.273,25,7,5,0.2,63,0
M000216,North America,5,0,mobile_only,1,22.0,7,5,2,0.714,15,7,8,1.7,74,0
M000217,North America,1,2,tv_only,1,26.0,8,6,2,0.75,6,4,8,19.0,12,0
M000218,Latin America,4,0,tv_only,1,36.4,16,10,6,0.625,11,7,11,1.0,56,0
M000219,Europe,2,0,mobile_only,1,23.1,8,6,2,0.75,9,5,6,0.2,95,0
M000220,Latin America,5,0,tv_only,1,26.8,11,3,8,0.273,27,2,9,0.0,46,0
M000221,Europe,3,2,multi_device,3,15.0,12,7,5,0.583,13,3,5,9.8,46,0
M000222,Europe,4,2,multi_device,4,25.3,10,5,5,0.5,12,5,5,8.0,73,0
M000223,North America,1,3,multi_device,3,27.6,12,7,5,0.583,11,1,7,23.7,99,0
M000224,North America,3,3,tv_only,1,10.3,11,7,4,0.636,23,5,8,8.5,43,0
M000225,North America,4,0,multi_device,3,35.8,8,2,6,0.25,26,6,7,0.0,83,0
M000226,North America,1,0,multi_device,3,37.0,15,7,8,0.467,3,3,6,0.2,13,0
M000227,Asia Pacific,1,0,tv_only,1,37.9,8,5,3,0.625,12,3,7,0.6,44,1
M000228,North America,2,0,mobile_only,1,15.2,13,3,10,0.231,25,3,7,1.3,14,1
M000229,Asia Pacific,4,2,tv_only,1,61.6,14,10,4,0.714,23,3,8,10.6,26,0
M000230,Europe,2,2,mobile_only,1,20.3,12,4,8,0.333,21,6,7,2.5,94,0
M000231,Latin America,2,0,web_only,1,11.0,12,4,8,0.333,29,4,4,1.2,27,0
M000232,Europe,1,1,mobile_only,1,59.1,12,3,9,0.25,28,2,7,13.6,17,1
M000233,Europe,1,2,web_only,1,12.7,11,3,8,0.273,7,3,6,11.7,78,0
M000234,Europe,4,0,tv_only,1,31.1,13,8,5,0.615,13,5,4,0.0,111,0
M000235,North America,1,0,multi_device,3,16.9,8,5,3,0.625,3,8,5,0.8,78,0
M000236,Latin America,3,0,mobile_only,1,7.8,13,4,9,0.308,17,2,3,0.4,54,0
M000237,North America,4,0,multi_device,2,12.4,5,3,2,0.6,19,5,6,0.6,29,0
M000238,North America,1,1,mobile_only,1,55.0,15,8,7,0.533,24,5,7,11.6,15,0
M000239,Europe,3,0,mobile_only,1,26.1,17,16,1,0.941,20,3,7,0.2,38,0
M000240,North America,1,0,multi_device,3,18.1,13,7,6,0.538,22,5,3,0.5,55,0
M000241,Asia Pacific,3,3,multi_device,2,21.2,11,9,2,0.818,10,3,11,22.5,80,0
M000242,Asia Pacific,1,0,mobile_only,1,11.3,13,6,7,0.462,16,2,7,0.1,53,0
M000243,Asia Pacific,3,0,multi_device,4,14.1,13,6,7,0.462,5,5,6,0.3,33,0
M000244,North America,2,3,multi_device,4,42.0,10,3,7,0.3,6,1,2,11.0,54,0
M000245,North America,2,0,web_only,1,29.4,11,9,2,0.818,12,8,5,1.2,86,0
M000246,Asia Pacific,3,0,web_only,1,25.2,9,6,3,0.667,1,2,7,0.8,75,0
M000247,Europe,1,2,multi_device,4,22.5,7,3,4,0.429,18,5,3,13.1,65,0
M000248,Asia Pacific,3,0,tv_only,1,6.9,11,3,8,0.273,16,5,9,0.0,51,0
M000249,Asia Pacific,2,2,tv_only,1,23.7,12,10,2,0.833,25,2,7,13.4,31,0
M000250,Latin America,3,0,tv_only,1,42.1,18,10,8,0.556,19,2,6,0.0,112,0
M000251,North America,1,0,multi_device,4,16.6,12,8,4,0.667,2,2,3,0.6,33,0
M000252,North America,3,0,multi_device,2,24.0,14,8,6,0.571,5,1,5,0.8,28,0
M000253,Latin America,1,0,multi_device,4,3.7,13,9,4,0.692,26,6,9,0.0,83,0
M000254,North America,2,1,multi_device,2,52.1,12,7,5,0.583,27,2,8,24.5,19,0
M000255,North America,1,1,multi_device,4,62.1,11,5,6,0.455,5,2,3,1.3,58,0
M000256,Europe,3,2,multi_device,3,61.9,14,8,6,0.571,22,2,12,34.0,52,0
M000257,Asia Pacific,2,2,multi_device,3,7.5,21,13,8,0.619,19,3,6,33.0,32,0
M000258,Latin America,4,0,multi_device,3,44.2,14,8,6,0.571,11,3,10,2.5,21,0
M000259,Europe,4,2,mobile_only,1,2.5,14,6,8,0.429,21,1,6,12.8,59,0
M000260,North America,1,1,multi_device,4,45.8,12,8,4,0.667,5,3,6,11.6,60,0
M000261,Europe,3,1,multi_device,2,25.0,10,7,3,0.7,11,5,8,4.4,73,0
M000262,Asia Pacific,1,2,multi_device,4,19.8,13,6,7,0.462,11,6,9,9.1,87,0
M000263,North America,2,1,multi_device,2,44.0,9,3,6,0.333,8,5,6,37.9,41,0
M000264,Europe,3,0,multi_device,4,27.1,18,6,12,0.333,21,5,4,1.2,47,0
M000265,Asia Pacific,3,1,multi_device,3,14.1,12,7,5,0.583,16,1,4,12.2,59,0
M000266,Latin America,3,0,multi_device,4,38.5,12,11,1,0.917,11,3,6,0.0,108,0
M000267,Latin America,2,0,mobile_only,1,51.0,12,5,7,0.417,1,5,7,0.4,37,0
M000268,Latin America,2,1,mobile_only,1,42.0,6,2,4,0.333,15,2,4,18.0,11,1
M000269,North America,1,0,multi_device,2,43.7,15,8,7,0.533,17,4,5,1.0,21,0
M000270,North America,3,0,web_only,1,11.2,16,7,9,0.438,16,8,9,0.0,25,0
M000271,Latin America,2,0,web_only,1,17.8,11,6,5,0.545,17,2,5,1.1,63,0
M000272,Latin America,3,1,web_only,1,29.7,9,3,6,0.333,25,5,2,7.3,57,0
M000273,Asia Pacific,1,0,multi_device,2,58.2,8,2,6,0.25,23,6,14,0.3,29,0
M000274,Asia Pacific,2,1,tv_only,1,14.4,16,13,3,0.812,15,6,5,14.6,98,0
M000275,Europe,2,0,multi_device,2,56.4,10,9,1,0.9,19,6,4,0.0,80,0
M000276,Europe,1,0,multi_device,2,6.0,8,6,2,0.75,11,3,5,0.0,36,0
M000277,Latin America,2,0,web_only,1,52.1,8,5,3,0.625,26,6,6,0.0,6,1
M000278,Europe,4,1,web_only,1,49.3,9,4,5,0.444,2,6,7,1.8,84,0
M000279,Latin America,4,0,multi_device,4,76.8,22,16,6,0.727,2,4,9,1.4,64,0
M000280,Latin America,2,3,multi_device,4,45.6,12,5,7,0.417,16,4,4,14.5,80,0
M000281,Asia Pacific,2,2,tv_only,1,31.5,14,11,3,0.786,22,7,5,42.8,44,0
M000282,North America,1,2,mobile_only,1,19.9,12,5,7,0.417,22,2,5,12.4,66,0
M000283,North America,4,2,tv_only,1,18.3,12,9,3,0.75,6,7,8,20.5,98,0
M000284,North America,1,0,mobile_only,1,24.4,10,8,2,0.8,2,8,2,0.1,16,1
M000285,Europe,4,0,tv_only,1,19.0,10,8,2,0.8,7,1,2,0.8,84,0
M000286,North America,2,1,tv_only,1,38.5,9,6,3,0.667,11,5,5,30.2,20,1
M000287,Europe,2,1,multi_device,3,44.9,18,12,6,0.667,10,8,5,2.1,7,1
M000288,Europe,4,2,multi_device,3,13.6,9,7,2,0.778,16,3,4,17.4,23,0
M000289,North America,1,1,multi_device,2,46.3,17,13,4,0.765,19,3,5,26.7,34,0
M000290,Europe,3,3,multi_device,3,32.9,10,7,3,0.7,1,2,3,29.4,26,0
M000291,North America,2,0,multi_device,4,20.9,11,7,4,0.636,3,4,3,0.1,40,0
